sec,luminance,rms_contrast,motion,edges,cuts,saturation
207,0.05435,0.10308,0.02225,0.15044,0.00000,0.41828
208,0.05428,0.10559,0.01517,0.14825,0.00000,0.41721
209,0.06044,0.10791,0.02898,0.14679,0.00000,0.39896
210,0.07155,0.08155,0.00300,0.13190,0.00000,0.30909
211,0.07121,0.08156,0.00483,0.13277,0.00000,0.30941
212,0.07433,0.08902,0.00617,0.14113,0.00000,0.31564
213,0.07079,0.08666,0.00927,0.13501,0.00000,0.30971
214,0.07076,0.08399,0.00899,0.13653,0.00000,0.30568
215,0.07554,0.10520,0.02392,0.13802,0.00000,0.32584
216,0.06345,0.08339,0.01206,0.12018,0.00000,0.30198
217,0.05923,0.07208,0.00469,0.11278,0.00000,0.28718
218,0.05888,0.07097,0.00502,0.11184,0.00000,0.28663
219,0.05967,0.07215,0.00665,0.11234,0.00000,0.29599
220,0.05821,0.07185,0.00773,0.11335,0.00000,0.30398
221,0.05733,0.06992,0.00618,0.11503,0.00000,0.29760
222,0.05492,0.06957,0.00710,0.11098,0.00000,0.30413
223,0.06061,0.07925,0.02731,0.12607,0.00000,0.29676
224,0.07277,0.09781,0.00177,0.18317,0.00000,0.26415
225,0.07294,0.09786,0.00159,0.18314,0.00000,0.26491
226,0.07296,0.09759,0.00125,0.18299,0.00000,0.26326
227,0.07390,0.09867,0.00141,0.18631,0.00000,0.26346
228,0.06687,0.08880,0.00909,0.16339,0.00000,0.26410
229,0.04109,0.08089,0.00961,0.06818,0.00000,0.26774
230,0.08240,0.18210,0.03169,0.10954,0.00000,0.28541
231,0.09313,0.20875,0.01554,0.11520,0.00000,0.28623
232,0.10133,0.18638,0.02948,0.17733,0.00000,0.31067
233,0.11023,0.15068,0.00988,0.25972,0.00000,0.33462
234,0.11566,0.15568,0.01683,0.26208,0.00000,0.33911
235,0.12408,0.16294,0.01840,0.26397,0.00000,0.33914
236,0.23747,0.23323,0.05758,0.25197,0.00000,0.20457
237,0.20696,0.18939,0.02459,0.23747,0.00000,0.23542
238,0.23209,0.22058,0.02930,0.25082,0.00000,0.23100
239,0.24008,0.22408,0.01772,0.25562,0.00000,0.22643
240,0.23070,0.21489,0.01392,0.24531,0.00000,0.22660
241,0.22796,0.20872,0.01559,0.23850,0.00000,0.22470
242,0.22625,0.20661,0.01792,0.23937,0.00000,0.22724
243,0.22902,0.20556,0.02606,0.24075,0.00000,0.22637
244,0.20645,0.20083,0.03036,0.23925,0.00000,0.25477
245,0.16615,0.20493,0.00680,0.25166,0.00000,0.31531
246,0.16676,0.20523,0.00352,0.25332,0.00000,0.31535
247,0.16514,0.20342,0.00952,0.25301,0.00000,0.31483
248,0.15878,0.20116,0.02184,0.23977,0.00000,0.31234
249,0.14527,0.19106,0.04867,0.23098,0.00000,0.31975
250,0.13347,0.17453,0.04005,0.24551,0.00000,0.31803
251,0.12811,0.16670,0.02803,0.24576,0.00000,0.31033
252,0.12197,0.15222,0.02301,0.23625,0.00000,0.31876
253,0.12575,0.15071,0.02889,0.22415,0.00000,0.32836
254,0.12327,0.13994,0.02952,0.20642,0.00000,0.32548
255,0.11756,0.12864,0.01973,0.18885,0.00000,0.32332
256,0.11582,0.12337,0.01366,0.18687,0.00000,0.32021
257,0.11457,0.12159,0.00949,0.18623,0.00000,0.31643
258,0.11354,0.12002,0.00622,0.18637,0.00000,0.31761
259,0.11149,0.11863,0.00662,0.18527,0.00000,0.31391
260,0.10920,0.11687,0.00830,0.18452,0.00000,0.30718
261,0.10788,0.11584,0.00769,0.18760,0.00000,0.30264
262,0.10613,0.11441,0.00639,0.18761,0.00000,0.30248
263,0.10486,0.11414,0.00866,0.18853,0.00000,0.29671
264,0.10234,0.11359,0.00868,0.19214,0.00000,0.29394
265,0.09647,0.11412,0.01049,0.19671,0.00000,0.28133
266,0.09078,0.11436,0.01687,0.19467,0.00000,0.28702
267,0.09182,0.11639,0.01740,0.19842,0.00000,0.29080
268,0.09642,0.12033,0.01537,0.21082,0.00000,0.30725
269,0.10365,0.12381,0.01926,0.20809,0.00000,0.30796
270,0.10590,0.12475,0.01249,0.20149,0.00000,0.30378
271,0.11049,0.12965,0.00793,0.20759,0.00000,0.29887
272,0.11309,0.13095,0.00794,0.20610,0.00000,0.28058
