sec,luminance,rms_contrast,motion,edges,cuts,saturation
221,0.48536,0.20077,0.04384,0.40402,0.00000,0.21224
222,0.52545,0.18775,0.07747,0.41668,0.00000,0.21753
223,0.46335,0.20178,0.06868,0.57761,0.00000,0.30310
224,0.42176,0.21455,0.02447,0.62728,0.00000,0.35574
225,0.35807,0.16646,0.07817,0.46459,1.00000,0.42792
226,0.32543,0.15369,0.02470,0.41011,0.00000,0.45931
227,0.29878,0.15089,0.01871,0.38874,0.00000,0.50197
228,0.30984,0.15434,0.02706,0.40094,0.00000,0.48476
229,0.33445,0.16009,0.03334,0.42438,0.00000,0.44632
230,0.34735,0.16184,0.05600,0.44362,0.00000,0.42499
231,0.34749,0.16753,0.05428,0.44062,0.00000,0.42113
232,0.32067,0.16792,0.04732,0.40574,0.00000,0.45992
233,0.31689,0.16531,0.04435,0.40776,0.00000,0.47003
234,0.39118,0.18141,0.05459,0.40979,1.00000,0.37444
235,0.46321,0.19922,0.02413,0.39605,0.00000,0.27215
236,0.44801,0.19086,0.02776,0.40636,0.00000,0.28205
237,0.44344,0.20168,0.02850,0.42019,0.00000,0.29865
238,0.40840,0.18920,0.05738,0.42327,1.00000,0.33795
239,0.34289,0.16777,0.02010,0.42535,0.00000,0.41972
240,0.34096,0.16780,0.02250,0.41275,0.00000,0.41657
241,0.32907,0.16318,0.01999,0.40540,0.00000,0.43605
242,0.34267,0.16625,0.02364,0.42451,0.00000,0.42554
243,0.35608,0.16917,0.02575,0.43417,0.00000,0.40514
244,0.34985,0.16922,0.01969,0.41681,0.00000,0.40713
245,0.34354,0.17092,0.02067,0.41871,0.00000,0.42195
246,0.34655,0.17271,0.01651,0.42240,0.00000,0.41729
247,0.35318,0.17164,0.02119,0.43116,0.00000,0.40681
248,0.34133,0.16901,0.01257,0.41361,0.00000,0.41333
249,0.32795,0.16476,0.02530,0.40414,0.00000,0.42902
250,0.32794,0.16230,0.02125,0.39573,0.00000,0.43095
251,0.34796,0.16726,0.02851,0.42087,0.00000,0.40517
252,0.33581,0.16869,0.05464,0.41703,0.00000,0.42523
253,0.39870,0.18354,0.06979,0.41963,1.00000,0.35323
254,0.52555,0.20151,0.03090,0.36964,0.00000,0.22532
255,0.51551,0.19489,0.02754,0.37979,0.00000,0.23802
256,0.48675,0.19687,0.02168,0.40809,0.00000,0.28077
257,0.48874,0.19233,0.01935,0.39411,0.00000,0.26692
258,0.36132,0.18182,0.14605,0.47223,1.00000,0.30405
259,0.34562,0.17551,0.10737,0.42785,0.00000,0.31561
260,0.39906,0.17292,0.09939,0.45914,0.00000,0.25323
261,0.42069,0.16921,0.10925,0.50954,0.00000,0.23794
262,0.40969,0.17332,0.04742,0.52103,0.00000,0.24690
263,0.40806,0.17739,0.04986,0.51898,0.00000,0.24871
264,0.41464,0.17675,0.03357,0.50648,0.00000,0.25093
265,0.40816,0.18189,0.02050,0.50240,0.00000,0.24804
